Method,Type,Year,PCC ↑,RMSE ↓,AUROC ↑,AUPRC-s ↑,PTM Site?
Ridge,Linear,—,0.7151602132074097,1.3826771391625658,0.9414758269720103,0.7325813100269623,No
Elastic Net,Linear,—,0.7150825885853894,1.3831614996646713,0.9414758269720103,0.7325813100269623,No
Random Forest,ML,—,0.6979725775559725,1.4111900916453386,0.888676844783715,0.7004711655376065,No
XGBoost,Boost,—,0.6282559709839416,1.5342945111575481,0.9268447837150127,0.6400896648385889,No
DeepCDR,DL+Multi-omics,2020,,,,,No
DrugCell,DL+GO,2020,,,,,GO-level
GraphDRP,GNN,2022,,,,,No
GraTransDRP,Graph Transf.,2023,,,,,No
HiDRA,Hierarchical,2023,,,,,No
TransCDR,Transformer,2023,,,,,No
PathDSP,Pathway,2024,,,,,Pathway
DIPK,DL+PPI,2024,,,,,No
Ours (PTM-BDL),PTM-BDL,2026,0.6143841561780392,1.760182209842755,0.9090330788804071,,"Yes, per-site"
