Test,Comparison,AUROC_A,AUROC_B,Δ,Statistic,p-value,Sig (α=0.05)
DeLong AUROC,Ours vs xgboost,0.9090330788804071,0.9268447837150127,-0.01781170483460559,-0.5258074863269412,0.5990219724987695,
DeLong AUROC,Ours vs elastic_net,0.9090330788804071,0.9414758269720103,-0.03244274809160319,-1.061790195351768,0.2883309418504907,
DeLong AUROC,Ours vs ridge,0.9090330788804071,0.9414758269720103,-0.03244274809160319,-1.061790195351768,0.2883309418504907,
DeLong AUROC,Ours vs random_forest,0.9090330788804071,0.888676844783715,0.020356234096692072,0.6638907431068006,0.506760241373102,
BH-corrected,wilcoxon_ours_vs_ridge_pearson_r,—,—,—,—,0.375,
BH-corrected,wilcoxon_ours_vs_elastic_net_pearson_r,—,—,—,—,0.375,
BH-corrected,wilcoxon_ours_vs_random_forest_pearson_r,—,—,—,—,0.5625,
BH-corrected,wilcoxon_ours_vs_xgboost_auroc,—,—,—,—,0.5625,
BH-corrected,delong_ours_vs_elastic_net,—,—,—,—,0.5625,
BH-corrected,delong_ours_vs_ridge,—,—,—,—,0.5625,
BH-corrected,wilcoxon_ours_vs_ridge_auroc,—,—,—,—,0.5625,
BH-corrected,wilcoxon_ours_vs_elastic_net_auroc,—,—,—,—,0.5625,
BH-corrected,delong_ours_vs_random_forest,—,—,—,—,0.625,
BH-corrected,wilcoxon_ours_vs_xgboost_pearson_r,—,—,—,—,0.625,
BH-corrected,delong_ours_vs_xgboost,—,—,—,—,0.625,
BH-corrected,wilcoxon_ours_vs_random_forest_auroc,—,—,—,—,0.625,
